date,value
1967-01-01,209000.0
1967-02-01,229000.0
1967-03-01,260750.0
1967-04-01,263000.0
1967-05-01,235750.0
1967-06-01,232000.0
1967-07-01,227800.0
1967-08-01,212750.0
1967-09-01,216400.0
1967-10-01,216750.0
1967-11-01,206250.0
1967-12-01,211200.0
1968-01-01,215750.0
1968-02-01,210750.0
1968-03-01,195200.0
1968-04-01,199000.0
1968-05-01,199000.0
1968-06-01,193600.0
1968-07-01,196250.0
1968-08-01,199400.0
1968-09-01,191000.0
1968-10-01,186000.0
1968-11-01,183400.0
1968-12-01,199500.0
1969-01-01,191500.0
1969-02-01,196000.0
1969-03-01,189000.0
1969-04-01,184000.0
1969-05-01,181200.0
1969-06-01,192000.0
1969-07-01,208750.0
1969-08-01,198400.0
1969-09-01,194750.0
1969-10-01,199250.0
1969-11-01,205000.0
1969-12-01,219750.0
1970-01-01,247000.0
1970-02-01,258500.0
1970-03-01,268250.0
1970-04-01,325250.0
1970-05-01,310400.0
1970-06-01,296500.0
1970-07-01,286500.0
1970-08-01,285400.0
1970-09-01,318500.0
1970-10-01,333600.0
1970-11-01,325250.0
1970-12-01,306000.0
1971-01-01,298800.0
1971-02-01,284000.0
1971-03-01,293750.0
1971-04-01,287500.0
1971-05-01,292200.0
1971-06-01,296500.0
1971-07-01,293200.0
1971-08-01,325250.0
1971-09-01,320250.0
1971-10-01,297600.0
1971-11-01,287000.0
1971-12-01,273000.0
1972-01-01,271200.0
1972-02-01,263500.0
1972-03-01,262750.0
1972-04-01,263000.0
1972-05-01,267750.0
1972-06-01,273250.0
1972-07-01,297600.0
1972-08-01,253500.0
1972-09-01,256200.0
1972-10-01,251000.0
1972-11-01,250750.0
1972-12-01,242400.0
1973-01-01,228500.0
1973-02-01,222000.0
1973-03-01,227200.0
1973-04-01,239000.0
1973-05-01,240250.0
1973-06-01,238800.0
1973-07-01,242750.0
1973-08-01,258250.0
1973-09-01,246800.0
1973-10-01,241500.0
1973-11-01,253750.0
1973-12-01,284000.0
1974-01-01,305250.0
1974-02-01,318500.0
1974-03-01,311600.0
1974-04-01,293000.0
1974-05-01,297500.0
1974-06-01,305600.0
1974-07-01,309500.0
1974-08-01,341400.0
1974-09-01,360750.0
1974-10-01,396750.0
1974-11-01,457600.0
1974-12-01,524000.0
1975-01-01,535000.0
1975-02-01,544500.0
1975-03-01,546600.0
1975-04-01,525250.0
1975-05-01,498800.0
1975-06-01,495500.0
1975-07-01,442000.0
1975-08-01,452000.0
1975-09-01,445250.0
1975-10-01,421250.0
1975-11-01,400600.0
1975-12-01,374250.0
1976-01-01,371200.0
1976-02-01,348250.0
1976-03-01,360500.0
1976-04-01,370250.0
1976-05-01,391600.0
1976-06-01,393750.0
1976-07-01,390800.0
1976-08-01,388500.0
1976-09-01,407500.0
1976-10-01,409000.0
1976-11-01,389500.0
1976-12-01,373750.0
1977-01-01,401800.0
1977-02-01,450750.0
1977-03-01,360250.0
1977-04-01,367400.0
1977-05-01,380250.0
1977-06-01,361250.0
1977-07-01,361400.0
1977-08-01,367250.0
1977-09-01,368750.0
1977-10-01,359000.0
1977-11-01,353500.0
1977-12-01,359600.0
1978-01-01,351000.0
1978-02-01,383250.0
1978-03-01,349000.0
1978-04-01,326000.0
1978-05-01,327000.0
1978-06-01,324250.0
1978-07-01,350200.0
1978-08-01,348750.0
1978-09-01,322600.0
1978-10-01,328250.0
1978-11-01,330500.0
1978-12-01,355600.0
1979-01-01,357500.0
1979-02-01,358500.0
1979-03-01,358000.0
1979-04-01,415500.0
1979-05-01,348000.0
1979-06-01,360000.0
1979-07-01,379250.0
1979-08-01,393750.0
1979-09-01,385800.0
1979-10-01,402250.0
1979-11-01,413250.0
1979-12-01,428200.0
1980-01-01,414250.0
1980-02-01,418000.0
1980-03-01,433800.0
1980-04-01,529750.0
1980-05-01,615800.0
1980-06-01,607000.0
1980-07-01,559250.0
1980-08-01,528200.0
1980-09-01,482750.0
1980-10-01,438000.0
1980-11-01,412600.0
1980-12-01,410000.0
1981-01-01,413000.0
1981-02-01,428750.0
1981-03-01,407500.0
1981-04-01,410250.0
1981-05-01,416400.0
1981-06-01,433000.0
1981-07-01,430750.0
1981-08-01,450200.0
1981-09-01,473250.0
1981-10-01,492800.0
1981-11-01,511750.0
1981-12-01,551000.0
1982-01-01,535200.0
1982-02-01,533750.0
1982-03-01,556500.0
1982-04-01,587000.0
1982-05-01,583800.0
1982-06-01,599500.0
1982-07-01,576000.0
1982-08-01,629500.0
1982-09-01,660750.0
1982-10-01,652400.0
1982-11-01,594250.0
1982-12-01,523750.0
1983-01-01,501000.0
1983-02-01,488750.0
1983-03-01,480250.0
1983-04-01,496000.0
1983-05-01,468000.0
1983-06-01,444250.0
1983-07-01,408000.0
1983-08-01,435750.0
1983-09-01,408750.0
1983-10-01,402200.0
1983-11-01,392500.0
1983-12-01,368800.0
1984-01-01,351000.0
1984-02-01,339250.0
1984-03-01,345800.0
1984-04-01,369250.0
1984-05-01,360250.0
1984-06-01,361400.0
1984-07-01,360500.0
1984-08-01,389500.0
1984-09-01,395400.0
1984-10-01,419250.0
1984-11-01,407000.0
1984-12-01,385600.0
1985-01-01,370750.0
1985-02-01,391750.0
1985-03-01,380800.0
1985-04-01,398250.0
1985-05-01,392750.0
1985-06-01,392400.0
1985-07-01,378250.0
1985-08-01,404400.0
1985-09-01,408500.0
1985-10-01,405750.0
1985-11-01,393400.0
1985-12-01,385250.0
1986-01-01,366750.0
1986-02-01,369500.0
1986-03-01,381200.0
1986-04-01,385750.0
1986-05-01,386000.0
1986-06-01,370500.0
1986-07-01,362000.0
1986-08-01,407400.0
1986-09-01,395500.0
1986-10-01,383250.0
1986-11-01,363200.0
1986-12-01,358250.0
1987-01-01,345600.0
1987-02-01,348750.0
1987-03-01,333250.0
1987-04-01,336250.0
1987-05-01,331000.0
1987-06-01,322250.0
1987-07-01,319250.0
1987-08-01,325600.0
1987-09-01,309750.0
1987-10-01,300000.0
1987-11-01,306750.0
